YP_007112748.1|NC_019726.1|Staphylococcus_phage_JD007|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	340376f4f5ec7d17e9efb3821109cf5a	123	Pfam	PF11192	Protein of unknown function (DUF2977)	18	77	0.0038	T	11-08-2026	IPR021358	Protein of unknown function DUF2977	-	-
YP_007112748.1|NC_019726.1|Staphylococcus_phage_JD007|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	340376f4f5ec7d17e9efb3821109cf5a	123	Coils	Coil	Coil	91	118	-	T	11-08-2026	-	-	-	-
QEA03005.1|MN047438.1|Staphylococcus_phage_vB_SauM-515A1|subtype=rbp_annotated|conf=confirmed|src=product_qualifier|putative	5ff327ae1958c0a0455d14ad334d633a	458	Pfam	PF23624	ORF68-like, C-terminal domain	337	458	1.5E-51	T	11-08-2026	IPR057110	ORF68, C-terminal	-	-
YP_240171.1|NC_007056.1|Staphylococcus_phage_EW|subtype=depolymerase|conf=putative|src=product_qualifier|phosphodiester	2005609b572ed8fc9d752b465273f0fb	576	PANTHER	PTHR40446	N-ACETYLGLUCOSAMINE-1-PHOSPHODIESTER ALPHA-N-ACETYLGLUCOSAMINIDASE	175	388	1.4E-15	T	11-08-2026	-	-	-	-
YP_240171.1|NC_007056.1|Staphylococcus_phage_EW|subtype=depolymerase|conf=putative|src=product_qualifier|phosphodiester	2005609b572ed8fc9d752b465273f0fb	576	Pfam	PF09992	Phosphodiester glycosidase	212	386	6.1E-18	T	11-08-2026	IPR018711	Phosphodiester glycosidase	-	-
QEM41374.1|MN045228.1|Staphylococcus_phage_Maine|subtype=rbp_annotated|conf=confirmed|src=product_qualifier|receptor	52f52557b01760bcc2d825df10dd78f5	458	Pfam	PF23624	ORF68-like, C-terminal domain	337	458	1.6E-52	T	11-08-2026	IPR057110	ORF68, C-terminal	-	-
YP_238581.1|NC_007021.1|Staphylococcus_phage_Twort|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	b74f9b110b6776b6383a9da703af3e7b	121	MobiDBLite	mobidb-lite	consensus disorder prediction	69	97	-	T	11-08-2026	-	-	-	-
YP_238581.1|NC_007021.1|Staphylococcus_phage_Twort|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	b74f9b110b6776b6383a9da703af3e7b	121	Pfam	PF11192	Protein of unknown function (DUF2977)	1	77	1.5E-22	T	11-08-2026	IPR021358	Protein of unknown function DUF2977	-	-
QEM41281.1|MN045228.1|Staphylococcus_phage_Maine|subtype=depolymerase|conf=putative|src=product_qualifier|N-glycosidase	2fddb363c9202b820b174060aa157500	162	Pfam	PF08719	NADAR domain	10	155	5.7E-36	T	11-08-2026	IPR012816	NADAR	-	MetaCyc:PWY-2681|MetaCyc:PWY-5316|MetaCyc:PWY-5381|MetaCyc:PWY-7342|MetaCyc:PWY-7564|MetaCyc:PWY-8106
QEM41281.1|MN045228.1|Staphylococcus_phage_Maine|subtype=depolymerase|conf=putative|src=product_qualifier|N-glycosidase	2fddb363c9202b820b174060aa157500	162	NCBIfam	TIGR02464	conserved hypothetical protein	8	158	1.7E-53	T	11-08-2026	IPR012816	NADAR	-	MetaCyc:PWY-2681|MetaCyc:PWY-5316|MetaCyc:PWY-5381|MetaCyc:PWY-7342|MetaCyc:PWY-7564|MetaCyc:PWY-8106
